,title,movieId_ref
0,Toy Story (1995),1.0
1,Jumanji (1995),2.0
2,Grumpier Old Men (1995),3.0
3,Waiting to Exhale (1995),4.0
4,Father of the Bride Part II (1995),5.0
5,Heat (1995),6.0
6,Sabrina (1995),7.0
7,Tom and Huck (1995),8.0
8,Sudden Death (1995),9.0
9,GoldenEye (1995),10.0
10,"American President, The (1995)",11.0
11,Dracula: Dead and Loving It (1995),12.0
12,Balto (1995),13.0
13,Nixon (1995),14.0
14,Cutthroat Island (1995),15.0
15,Casino (1995),16.0
16,Sense and Sensibility (1995),17.0
17,Four Rooms (1995),18.0
18,Ace Ventura: When Nature Calls (1995),19.0
19,Money Train (1995),20.0
20,Get Shorty (1995),21.0
21,Copycat (1995),22.0
22,Assassins (1995),23.0
23,Powder (1995),24.0
24,Leaving Las Vegas (1995),25.0
25,Othello (1995),26.0
26,Now and Then (1995),27.0
27,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",28.0
28,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),29.0
29,Dangerous Minds (1995),30.0
30,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),31.0
31,Wings of Courage (1995),32.0
32,Babe (1995),33.0
33,Carrington (1995),34.0
34,Dead Man Walking (1995),35.0
35,Across the Sea of Time (1995),36.0
36,It Takes Two (1995),37.0
37,Clueless (1995),38.0
38,"Cry, the Beloved Country (1995)",39.0
39,Richard III (1995),40.0
40,Dead Presidents (1995),41.0
41,Restoration (1995),42.0
42,Mortal Kombat (1995),43.0
43,To Die For (1995),44.0
44,How to Make an American Quilt (1995),45.0
45,Seven (a.k.a. Se7en) (1995),46.0
46,Pocahontas (1995),47.0
47,When Night Is Falling (1995),48.0
48,"Usual Suspects, The (1995)",49.0
49,Mighty Aphrodite (1995),50.0
50,Lamerica (1994),51.0
51,Georgia (1995),52.0
52,Kids of the Round Table (1995),53.0
53,Home for the Holidays (1995),54.0
54,"Postman, The (Postino, Il) (1994)",55.0
55,"Confessional, The (Confessionnal, Le) (1995)",56.0
56,"Indian in the Cupboard, The (1995)",57.0
57,Eye for an Eye (1996),58.0
58,Mr. Holland's Opus (1995),59.0
59,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),60.0
60,Two if by Sea (1996),61.0
61,Bio-Dome (1996),62.0
62,Lawnmower Man 2: Beyond Cyberspace (1996),63.0
63,Two Bits (1995),64.0
64,French Twist (Gazon maudit) (1995),65.0
65,Friday (1995),66.0
66,From Dusk Till Dawn (1996),67.0
67,Fair Game (1995),68.0
68,Kicking and Screaming (1995),69.0
69,"Misérables, Les (1995)",70.0
70,Bed of Roses (1996),71.0
71,Big Bully (1996),72.0
72,Screamers (1995),73.0
73,Nico Icon (1995),74.0
74,"Crossing Guard, The (1995)",75.0
75,"Juror, The (1996)",76.0
76,"White Balloon, The (Badkonake sefid) (1995)",77.0
77,Things to Do in Denver When You're Dead (1995),78.0
78,Antonia's Line (Antonia) (1995),79.0
79,Once Upon a Time... When We Were Colored (1995),80.0
80,Last Summer in the Hamptons (1995),81.0
81,Angels and Insects (1995),82.0
82,White Squall (1996),83.0
83,Dunston Checks In (1996),84.0
84,Black Sheep (1996),85.0
85,Nick of Time (1995),86.0
86,"Journey of August King, The (1995)",87.0
87,Mary Reilly (1996),88.0
88,Vampire in Brooklyn (1995),89.0
89,Beautiful Girls (1996),90.0
90,Broken Arrow (1996),91.0
91,In the Bleak Midwinter (1995),92.0
92,"Hate (Haine, La) (1995)",93.0
93,Shopping (1994),94.0
94,City Hall (1996),95.0
95,Bottle Rocket (1996),96.0
96,Mr. Wrong (1996),97.0
97,Unforgettable (1996),98.0
98,"Bridges of Madison County, The (1995)",99.0
99,Nobody Loves Me (Keiner liebt mich) (1994),100.0
100,Muppet Treasure Island (1996),101.0
101,Catwalk (1996),102.0
102,Headless Body in Topless Bar (1995),103.0
103,Braveheart (1995),104.0
104,Taxi Driver (1976),105.0
105,Rumble in the Bronx (Hont faan kui) (1995),106.0
106,Before and After (1996),107.0
107,Margaret's Museum (1995),108.0
108,"Happiness Is in the Field (Bonheur est dans le pré, Le) (1995)",109.0
109,Anne Frank Remembered (1995),110.0
110,"Young Poisoner's Handbook, The (1995)",111.0
111,If Lucy Fell (1996),112.0
112,"Steal Big, Steal Little (1995)",113.0
113,Race the Sun (1996),114.0
114,Boomerang (1992),115.0
115,Chungking Express (Chung Hing sam lam) (1994),116.0
116,"Star Maker, The (Uomo delle stelle, L') (1995)",117.0
117,Flirting With Disaster (1996),118.0
118,"NeverEnding Story III, The (1994)",119.0
119,"Silences of the Palace, The (Saimt el Qusur) (1994)",120.0
120,Jupiter's Wife (1994),121.0
121,Pie in the Sky (1996),122.0
122,Angela (1995),123.0
123,Frankie Starlight (1995),124.0
124,Jade (1995),125.0
125,Nueba Yol (1995),126.0
126,Sonic Outlaws (1995),127.0
127,Down Periscope (1996),128.0
128,From the Journals of Jean Seberg (1995),129.0
129,Man of the Year (1995),130.0
130,"Neon Bible, The (1995)",131.0
131,Target (1995),132.0
132,Up Close and Personal (1996),133.0
133,"Birdcage, The (1996)",134.0
134,Shadows (Cienie) (1988),135.0
135,Gospa (1995),136.0
136,"Brothers McMullen, The (1995)",137.0
137,Bad Boys (1995),138.0
138,"Amazing Panda Adventure, The (1995)",139.0
139,"Basketball Diaries, The (1995)",140.0
140,"Awfully Big Adventure, An (1995)",141.0
141,Amateur (1994),142.0
142,Apollo 13 (1995),143.0
143,Rob Roy (1995),144.0
144,"Addiction, The (1995)",145.0
145,Batman Forever (1995),146.0
146,Beauty of the Day (Belle de jour) (1967),147.0
147,Beyond Rangoon (1995),148.0
148,Blue in the Face (1995),149.0
149,Canadian Bacon (1995),150.0
150,Casper (1995),151.0
151,Clockers (1995),152.0
152,Congo (1995),153.0
153,Crimson Tide (1995),154.0
154,Crumb (1994),155.0
155,Desperado (1995),156.0
156,Devil in a Blue Dress (1995),157.0
157,Die Hard: With a Vengeance (1995),158.0
158,"Doom Generation, The (1995)",159.0
159,Feast of July (1995),160.0
160,First Knight (1995),161.0
161,Free Willy 2: The Adventure Home (1995),162.0
162,Hackers (1995),163.0
163,Jeffrey (1995),164.0
164,Johnny Mnemonic (1995),165.0
165,Judge Dredd (1995),166.0
166,Jury Duty (1995),167.0
167,Kids (1995),168.0
168,Living in Oblivion (1995),169.0
169,Lord of Illusions (1995),170.0
170,Love & Human Remains (1993),171.0
171,Mad Love (1995),172.0
172,Mallrats (1995),173.0
173,Mighty Morphin Power Rangers: The Movie (1995),174.0
174,Moonlight and Valentino (1995),175.0
175,Mute Witness (1994),176.0
176,Nadja (1994),177.0
177,"Net, The (1995)",178.0
178,Nine Months (1995),179.0
179,Party Girl (1995),180.0
180,"Prophecy, The (1995)",181.0
181,Reckless (1995),182.0
182,Safe (1995),183.0
183,"Scarlet Letter, The (1995)",184.0
184,"Show, The (1995)",185.0
185,Showgirls (1995),186.0
186,Smoke (1995),187.0
187,Something to Talk About (1995),188.0
188,Species (1995),189.0
189,"Stars Fell on Henrietta, The (1995)",190.0
190,Strange Days (1995),191.0
191,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",192.0
192,"Tie That Binds, The (1995)",193.0
193,Three Wishes (1995),194.0
194,Total Eclipse (1995),195.0
195,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",196.0
196,Under Siege 2: Dark Territory (1995),197.0
197,Unstrung Heroes (1995),198.0
198,Unzipped (1995),199.0
199,"Walk in the Clouds, A (1995)",200.0
200,Waterworld (1995),201.0
201,White Man's Burden (1995),202.0
202,Wild Bill (1995),203.0
203,"Browning Version, The (1994)",204.0
204,Bushwhacked (1995),205.0
205,Burnt by the Sun (Utomlyonnye solntsem) (1994),206.0
206,Before the Rain (Pred dozhdot) (1994),207.0
207,Before Sunrise (1995),208.0
208,Billy Madison (1995),209.0
209,"Babysitter, The (1995)",210.0
210,Boys on the Side (1995),211.0
211,"Cure, The (1995)",212.0
212,Circle of Friends (1995),213.0
213,Clerks (1994),214.0
214,Don Juan DeMarco (1995),215.0
215,Disclosure (1994),216.0
216,Drop Zone (1994),217.0
217,Destiny Turns on the Radio (1995),218.0
218,Death and the Maiden (1994),219.0
219,Dolores Claiborne (1995),220.0
220,Dumb & Dumber (Dumb and Dumber) (1994),221.0
221,Eat Drink Man Woman (Yin shi nan nu) (1994),222.0
222,Exotica (1994),223.0
223,Exit to Eden (1994),224.0
224,Ed Wood (1994),225.0
225,French Kiss (1995),226.0
226,Forget Paris (1995),227.0
227,Far From Home: The Adventures of Yellow Dog (1995),228.0
228,"Goofy Movie, A (1995)",229.0
229,Hideaway (1995),230.0
230,Fluke (1995),231.0
231,Farinelli: il castrato (1994),232.0
232,Gordy (1995),233.0
233,Gumby: The Movie (1995),234.0
234,"Glass Shield, The (1994)",235.0
235,Heavenly Creatures (1994),236.0
236,Houseguest (1994),237.0
237,Immortal Beloved (1994),238.0
238,Heavyweights (Heavy Weights) (1995),239.0
239,"Hunted, The (1995)",240.0
240,I.Q. (1994),241.0
241,Interview with the Vampire: The Vampire Chronicles (1994),242.0
242,Jefferson in Paris (1995),243.0
243,"Jerky Boys, The (1995)",244.0
244,Junior (1994),245.0
245,Just Cause (1995),246.0
246,"Kid in King Arthur's Court, A (1995)",247.0
247,Kiss of Death (1995),248.0
248,Star Wars: Episode IV - A New Hope (1977),249.0
249,Little Women (1994),250.0
250,"Little Princess, A (1995)",251.0
251,Ladybird Ladybird (1994),252.0
252,"Enfer, L' (1994)",253.0
253,Like Water for Chocolate (Como agua para chocolate) (1992),254.0
254,Legends of the Fall (1994),255.0
255,Major Payne (1995),256.0
256,Little Odessa (1994),257.0
257,My Crazy Life (Mi vida loca) (1993),258.0
258,Love Affair (1994),259.0
259,Losing Isaiah (1995),260.0
260,"Madness of King George, The (1994)",261.0
261,Mary Shelley's Frankenstein (Frankenstein) (1994),262.0
262,Man of the House (1995),263.0
263,Mixed Nuts (1994),264.0
264,Milk Money (1994),265.0
265,Miracle on 34th Street (1994),266.0
266,Miami Rhapsody (1995),267.0
267,My Family (1995),268.0
268,Murder in the First (1995),269.0
269,Nobody's Fool (1994),270.0
270,Nell (1994),271.0
271,New Jersey Drive (1995),272.0
272,New York Cop (Nyû Yôku no koppu) (1993),273.0
273,Beyond Bedlam (1993),274.0
274,Nina Takes a Lover (1994),275.0
275,Natural Born Killers (1994),276.0
276,Only You (1994),277.0
277,Once Were Warriors (1994),278.0
278,Poison Ivy II (1996),279.0
279,Outbreak (1995),280.0
280,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),281.0
281,"Perez Family, The (1995)",282.0
282,"Pyromaniac's Love Story, A (1995)",283.0
283,Pulp Fiction (1994),284.0
284,Panther (1995),285.0
285,Pushing Hands (Tui shou) (1992),286.0
286,Priest (1994),287.0
287,Quiz Show (1994),288.0
288,Picture Bride (Bijo photo) (1994),289.0
289,"Queen Margot (Reine Margot, La) (1994)",290.0
290,"Quick and the Dead, The (1995)",291.0
291,Roommates (1995),292.0
292,Ready to Wear (Pret-A-Porter) (1994),293.0
293,Three Colors: Red (Trois couleurs: Rouge) (1994),294.0
294,Three Colors: Blue (Trois couleurs: Bleu) (1993),295.0
295,Three Colors: White (Trzy kolory: Bialy) (1994),296.0
296,"Red Firecracker, Green Firecracker (Pao Da Shuang Deng) (1994)",297.0
297,Relative Fear (1994),298.0
298,Stuart Saves His Family (1995),299.0
299,"Swan Princess, The (1994)",300.0
300,"Secret of Roan Inish, The (1994)",301.0
301,"Specialist, The (1994)",302.0
302,Stargate (1994),303.0
303,"Santa Clause, The (1994)",304.0
304,"Shawshank Redemption, The (1994)",305.0
305,Shallow Grave (1994),306.0
306,Suture (1993),307.0
307,Strawberry and Chocolate (Fresa y chocolate) (1993),308.0
308,Swimming with Sharks (1995),309.0
309,"Sum of Us, The (1994)",310.0
310,National Lampoon's Senior Trip (1995),311.0
311,To Live (Huozhe) (1994),312.0
312,Tank Girl (1995),313.0
313,Tales from the Crypt Presents: Demon Knight (1995),314.0
314,Star Trek: Generations (1994),315.0
315,Tales from the Hood (1995),316.0
316,Tom & Viv (1994),317.0
317,Village of the Damned (1995),318.0
318,Tommy Boy (1995),319.0
319,Vanya on 42nd Street (1994),320.0
